epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
43,,3343,,,,,,,,,,,,0.18377482891082764,0.568708598613739,0.6730132699012756,0.43956953287124634,0.08437304198741913,0.09687045961618423,0.17292606830596924,0.18750035762786865,0.15204915404319763
43,,3343,,,,,,,,,,0.4728492498397827,,,,,,,,,,
,4.4760639485315563e-05,3349,,,,,,,,,,,,,,,,,,,,
44,,3349,,,,,,,,,,,0.48147258162498474,,,,,,,,,
,4.4760639485315563e-05,3399,,,,,,,,,,,,,,,,,,,,
44,,3399,,,,,,,,,,,0.4781673550605774,,,,,,,,,
44,,3419,,,,,,,,,,0.4734531044960022,,,,,,,,,,
,3.422702443389899e-05,3449,,,,,,,,,,,,,,,,,,,,
45,,3449,,,,,,,,,,,0.4502371549606323,,,,,,,,,
45,,3495,,,,,,,,,,,,0.18460264801979065,0.567052960395813,0.6730132699012756,0.43460264801979065,0.08393140882253647,0.0967516079545021,0.17236238718032837,0.1871699094772339,0.15083982050418854
45,,3495,,,,,,,,,,0.471687912940979,,,,,,,,,,
,2.5551335241327665e-05,3499,,,,,,,,,,,,,,,,,,,,
46,,3499,,,,,,,,,,,0.5032860636711121,,,,,,,,,
,2.5551335241327665e-05,3549,,,,,,,,,,,,,,,,,,,,
46,,3549,,,,,,,,,,,0.47261959314346313,,,,,,,,,
46,,3571,,,,,,,,,,0.47198086977005005,,,,,,,,,,
,1.876781088929908e-05,3599,,,,,,,,,,,,,,,,,,,,
47,,3599,,,,,,,,,,,0.4665662944316864,,,,,,,,,
47,,3647,,,,,,,,,,,,0.18543046712875366,0.5645695328712463,0.6721854209899902,0.4329470098018646,0.08314085751771927,0.09633223712444305,0.1714089810848236,0.18648764491081238,0.14996257424354553
